country,year,variable,cutpoint,y_r,n,survey,cc_rank,firstyr,lastyr,variable_cp,ccode,tcode,qcode,rcode,ktcode,tq,year_obs
United States,1989,l_poor2,1,1073,2280,cbsnyt198905,383,1969,2016,l_poor2_gt1,1,25,4,4,25,270,40
United States,1989,l_rape2,1,825,991,usgss,383,1969,2016,l_rape2_gt1,1,25,5,5,25,270,40
United States,1989,l_single2,1,1034,2270,cbsnyt198905,383,1969,2016,l_single2_gt1,1,25,6,6,25,270,40
United States,1989,l_any2,1,399,989,usgss,383,1969,2016,l_any2_gt1,1,25,8,10,25,270,40
United States,1989,l_doctor2,1,1506,2071,usap8901,383,1969,2016,l_doctor2_gt1,1,25,9,11,25,270,40
United States,1989,l_n_an_a3,1,989,1062,usap8901,383,1969,2016,l_n_an_a3_gt1,1,25,15,25,25,270,40
United States,1989,l_n_an_a3,2,558,1062,usap8901,383,1969,2016,l_n_an_a3_gt2,1,25,15,26,25,270,40
United States,1990,l_defect2,1,715,880,usgss,383,1969,2016,l_defect2_gt1,1,26,1,1,26,270,40
United States,1990,l_nomore2,1,396,879,usgss,383,1969,2016,l_nomore2_gt1,1,26,2,2,26,270,40
United States,1990,l_health2,1,814,887,usgss,383,1969,2016,l_health2_gt1,1,26,3,3,26,270,40
United States,1990,l_poor2,1,416,865,usgss,383,1969,2016,l_poor2_gt1,1,26,4,4,26,270,40
United States,1990,l_rape2,1,740,873,usgss,383,1969,2016,l_rape2_gt1,1,26,5,5,26,270,40
United States,1990,l_single2,1,395,872,usgss,383,1969,2016,l_single2_gt1,1,26,6,6,26,270,40
United States,1990,l_ncca4,1,1697,1932,anes_combo,383,1969,2016,l_ncca4_gt1,1,26,7,7,26,270,40
United States,1990,l_ncca4,2,1055,1932,anes_combo,383,1969,2016,l_ncca4_gt2,1,26,7,8,26,270,40
United States,1990,l_ncca4,3,776,1932,anes_combo,383,1969,2016,l_ncca4_gt3,1,26,7,9,26,270,40
United States,1990,l_any2,1,381,877,usgss,383,1969,2016,l_any2_gt1,1,26,8,10,26,270,40
United States,1990,a_health2,1,1556,1820,evs_combo,383,1969,2016,a_health2_gt1,1,26,10,12,26,270,40
United States,1990,a_defect2,1,976,1787,evs_combo,383,1969,2016,a_defect2_gt1,1,26,11,13,26,270,40
United States,1990,just10,1,1203,1802,evs_combo,383,1969,2016,just10_gt1,1,26,12,14,26,270,40
United States,1990,just10,2,1073,1802,evs_combo,383,1969,2016,just10_gt2,1,26,12,15,26,270,40
United States,1990,just10,3,941,1802,evs_combo,383,1969,2016,just10_gt3,1,26,12,16,26,270,40
United States,1990,just10,4,829,1802,evs_combo,383,1969,2016,just10_gt4,1,26,12,17,26,270,40
United States,1990,just10,5,531,1802,evs_combo,383,1969,2016,just10_gt5,1,26,12,18,26,270,40
United States,1990,just10,6,360,1802,evs_combo,383,1969,2016,just10_gt6,1,26,12,19,26,270,40
United States,1990,just10,7,240,1802,evs_combo,383,1969,2016,just10_gt7,1,26,12,20,26,270,40
United States,1990,just10,8,131,1802,evs_combo,383,1969,2016,just10_gt8,1,26,12,21,26,270,40
United States,1990,just10,9,97,1802,evs_combo,383,1969,2016,just10_gt9,1,26,12,22,26,270,40
United States,1990,a_single2,1,535,1790,evs_combo,383,1969,2016,a_single2_gt1,1,26,13,23,26,270,40
United States,1990,a_nomore2,1,476,1807,evs_combo,383,1969,2016,a_nomore2_gt1,1,26,14,24,26,270,40
United States,1991,l_defect2,1,788,944,usgss,383,1969,2016,l_defect2_gt1,1,27,1,1,27,270,40
United States,1991,l_nomore2,1,424,950,usgss,383,1969,2016,l_nomore2_gt1,1,27,2,2,27,270,40
United States,1991,l_health2,1,874,955,usgss,383,1969,2016,l_health2_gt1,1,27,3,3,27,270,40
United States,1991,l_poor2,1,458,945,usgss,383,1969,2016,l_poor2_gt1,1,27,4,4,27,270,40
United States,1991,l_rape2,1,817,945,usgss,383,1969,2016,l_rape2_gt1,1,27,5,5,27,270,40
United States,1991,l_single2,1,426,950,usgss,383,1969,2016,l_single2_gt1,1,27,6,6,27,270,40
United States,1991,l_any2,1,405,951,usgss,383,1969,2016,l_any2_gt1,1,27,8,10,27,270,40
United States,1991,a_defect4,1,956,1235,issp1991,383,1969,2016,a_defect4_gt1,1,27,16,27,27,270,40
United States,1991,a_defect4,2,825,1235,issp1991,383,1969,2016,a_defect4_gt2,1,27,16,28,27,270,40
United States,1991,a_defect4,3,662,1235,issp1991,383,1969,2016,a_defect4_gt3,1,27,16,29,27,270,40
United States,1991,a_poor4,1,745,1224,issp1991,383,1969,2016,a_poor4_gt1,1,27,17,30,27,270,40
United States,1991,a_poor4,2,550,1224,issp1991,383,1969,2016,a_poor4_gt2,1,27,17,31,27,270,40
United States,1991,a_poor4,3,408,1224,issp1991,383,1969,2016,a_poor4_gt3,1,27,17,32,27,270,40
United States,1991,l_defect4,1,452,1262,issp1991,383,1969,2016,l_defect4_gt1,1,27,18,33,27,270,40
United States,1991,l_defect4,2,220,1262,issp1991,383,1969,2016,l_defect4_gt2,1,27,18,34,27,270,40
United States,1991,l_defect4,3,146,1262,issp1991,383,1969,2016,l_defect4_gt3,1,27,18,35,27,270,40
United States,1991,l_poor4,1,740,1219,issp1991,383,1969,2016,l_poor4_gt1,1,27,19,36,27,270,40
United States,1991,l_poor4,2,542,1219,issp1991,383,1969,2016,l_poor4_gt2,1,27,19,37,27,270,40
United States,1991,l_poor4,3,378,1219,issp1991,383,1969,2016,l_poor4_gt3,1,27,19,38,27,270,40
United States,1992,l_ncca4,1,2149,2406,anes_combo,383,1969,2016,l_ncca4_gt1,1,28,7,7,28,270,40
United States,1992,l_ncca4,2,1468,2406,anes_combo,383,1969,2016,l_ncca4_gt2,1,28,7,8,28,270,40
United States,1992,l_ncca4,3,1125,2406,anes_combo,383,1969,2016,l_ncca4_gt3,1,28,7,9,28,270,40
United States,1992,l_doctor2,1,589,789,usap9205,383,1969,2016,l_doctor2_gt1,1,28,9,11,28,270,40
United States,1993,l_defect2,1,840,1033,usgss,383,1969,2016,l_defect2_gt1,1,29,1,1,29,270,40
United States,1993,l_nomore2,1,480,1019,usgss,383,1969,2016,l_nomore2_gt1,1,29,2,2,29,270,40
United States,1993,l_health2,1,923,1028,usgss,383,1969,2016,l_health2_gt1,1,29,3,3,29,270,40
United States,1993,l_poor2,1,508,1019,usgss,383,1969,2016,l_poor2_gt1,1,29,4,4,29,270,40
United States,1993,l_rape2,1,850,1025,usgss,383,1969,2016,l_rape2_gt1,1,29,5,5,29,270,40
United States,1993,l_single2,1,488,1014,usgss,383,1969,2016,l_single2_gt1,1,29,6,6,29,270,40
United States,1993,l_any2,1,458,1010,usgss,383,1969,2016,l_any2_gt1,1,29,8,10,29,270,40
United States,1993,govint4,1,1234,1449,nbcwsj199306,383,1969,2016,govint4_gt1,1,29,20,39,29,270,40
United States,1993,govint4,2,1136,1449,nbcwsj199306,383,1969,2016,govint4_gt2,1,29,20,40,29,270,40
United States,1993,govint4,3,948,1449,nbcwsj199306,383,1969,2016,govint4_gt3,1,29,20,41,29,270,40
United States,1994,l_defect2,1,1585,1926,usgss,383,1969,2016,l_defect2_gt1,1,30,1,1,30,270,40
United States,1994,l_nomore2,1,930,1925,usgss,383,1969,2016,l_nomore2_gt1,1,30,2,2,30,270,40
United States,1994,l_health2,1,1753,1934,usgss,383,1969,2016,l_health2_gt1,1,30,3,3,30,270,40
United States,1994,l_poor2,1,971,1925,usgss,383,1969,2016,l_poor2_gt1,1,30,4,4,30,270,40
United States,1994,l_rape2,1,1616,1934,usgss,383,1969,2016,l_rape2_gt1,1,30,5,5,30,270,40
United States,1994,l_single2,1,923,1938,usgss,383,1969,2016,l_single2_gt1,1,30,6,6,30,270,40
United States,1994,l_ncca4,1,1498,1730,anes_combo,383,1969,2016,l_ncca4_gt1,1,30,7,7,30,270,40
United States,1994,l_ncca4,2,950,1730,anes_combo,383,1969,2016,l_ncca4_gt2,1,30,7,8,30,270,40
United States,1994,l_ncca4,3,701,1730,anes_combo,383,1969,2016,l_ncca4_gt3,1,30,7,9,30,270,40
United States,1994,l_any2,1,895,1934,usgss,383,1969,2016,l_any2_gt1,1,30,8,10,30,270,40
United States,1994,govint4,1,590,729,nbcwsj199406,383,1969,2016,govint4_gt1,1,30,20,39,30,270,40
United States,1994,govint4,2,523,729,nbcwsj199406,383,1969,2016,govint4_gt2,1,30,20,40,30,270,40
United States,1994,govint4,3,397,729,nbcwsj199406,383,1969,2016,govint4_gt3,1,30,20,41,30,270,40
United States,1994,free5a,1,1019,1332,issp1994,383,1969,2016,free5a_gt1,1,30,21,42,30,270,40
United States,1994,free5a,2,732,1332,issp1994,383,1969,2016,free5a_gt2,1,30,21,43,30,270,40
United States,1994,free5a,3,606,1332,issp1994,383,1969,2016,free5a_gt3,1,30,21,44,30,270,40
United States,1994,free5a,4,257,1332,issp1994,383,1969,2016,free5a_gt4,1,30,21,45,30,270,40
United States,1995,l_doctor2,1,652,869,usap9502,383,1969,2016,l_doctor2_gt1,1,31,9,11,31,270,40
United States,1995,just10,1,972,1475,wvs_combo,383,1969,2016,just10_gt1,1,31,12,14,31,270,40
United States,1995,just10,2,878,1475,wvs_combo,383,1969,2016,just10_gt2,1,31,12,15,31,270,40
United States,1995,just10,3,774,1475,wvs_combo,383,1969,2016,just10_gt3,1,31,12,16,31,270,40
United States,1995,just10,4,689,1475,wvs_combo,383,1969,2016,just10_gt4,1,31,12,17,31,270,40
United States,1995,just10,5,368,1475,wvs_combo,383,1969,2016,just10_gt5,1,31,12,18,31,270,40
United States,1995,just10,6,277,1475,wvs_combo,383,1969,2016,just10_gt6,1,31,12,19,31,270,40
United States,1995,just10,7,193,1475,wvs_combo,383,1969,2016,just10_gt7,1,31,12,20,31,270,40
United States,1995,just10,8,119,1475,wvs_combo,383,1969,2016,just10_gt8,1,31,12,21,31,270,40
United States,1995,just10,9,82,1475,wvs_combo,383,1969,2016,just10_gt9,1,31,12,22,31,270,40
United States,1996,l_defect2,1,1514,1850,usgss,383,1969,2016,l_defect2_gt1,1,32,1,1,32,270,40
United States,1996,l_nomore2,1,853,1825,usgss,383,1969,2016,l_nomore2_gt1,1,32,2,2,32,270,40
United States,1996,l_health2,1,1694,1850,usgss,383,1969,2016,l_health2_gt1,1,32,3,3,32,270,40
United States,1996,l_poor2,1,853,1830,usgss,383,1969,2016,l_poor2_gt1,1,32,4,4,32,270,40
United States,1996,l_rape2,1,1550,1839,usgss,383,1969,2016,l_rape2_gt1,1,32,5,5,32,270,40
United States,1996,l_single2,1,822,1832,usgss,383,1969,2016,l_single2_gt1,1,32,6,6,32,270,40
United States,1996,l_ncca4,1,1457,1679,anes_combo,383,1969,2016,l_ncca4_gt1,1,32,7,7,32,270,40
United States,1996,l_ncca4,2,945,1679,anes_combo,383,1969,2016,l_ncca4_gt2,1,32,7,8,32,270,40
United States,1996,l_ncca4,3,676,1679,anes_combo,383,1969,2016,l_ncca4_gt3,1,32,7,9,32,270,40
United States,1996,l_any2,1,819,1821,usgss,383,1969,2016,l_any2_gt1,1,32,8,10,32,270,40
United States,1998,l_defect2,1,1415,1800,usgss,383,1969,2016,l_defect2_gt1,1,34,1,1,34,270,40
United States,1998,l_nomore2,1,758,1791,usgss,383,1969,2016,l_nomore2_gt1,1,34,2,2,34,270,40
United States,1998,l_health2,1,1578,1796,usgss,383,1969,2016,l_health2_gt1,1,34,3,3,34,270,40
United States,1998,l_poor2,1,789,1783,usgss,383,1969,2016,l_poor2_gt1,1,34,4,4,34,270,40
United States,1998,l_rape2,1,1439,1796,usgss,383,1969,2016,l_rape2_gt1,1,34,5,5,34,270,40
United States,1998,l_single2,1,757,1790,usgss,383,1969,2016,l_single2_gt1,1,34,6,6,34,270,40
United States,1998,l_ncca4,1,1100,1258,anes_combo,383,1969,2016,l_ncca4_gt1,1,34,7,7,34,270,40
